N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2p,word,poly,100,10.0,7000,0.5003337783711616,3500
2p,word,poly,100,100.0,7000,0.5003337783711616,3506
2p,word,poly,100,1000.0,6981,0.5060080106809078,3559
2p,word,poly,100,10000.0,6734,0.5604138851802403,4134
2p,word,poly,100,100000.0,5525,0.7489986648865153,4761
2p,word,poly,100,1000000.0,3206,0.8838451268357811,6578
1p,word,poly,10000,0.1,7000,0.49966622162883845,3500
1p,word,poly,10000,1.0,7000,0.49966622162883845,3500
1p,word,poly,10000,10.0,7000,0.49966622162883845,3500
1p,word,poly,10000,100.0,7000,0.49966622162883845,3500
1p,word,poly,10000,1000.0,7000,0.49966622162883845,3500
1p,word,poly,10000,10000.0,7000,0.49966622162883845,3500
1p,word,poly,10000,100000.0,7000,0.49966622162883845,3500
1p,word,poly,10000,1000000.0,7000,0.5006675567423231,3511
